ID,SIGHTING_DATE,CITY_STATE,COUNTRY_CODE,SHAPE,DURATION,DATE_POSTED
1452,07/07/2011,swindon (uk/england),gb,fireball,120,17/07/2011
1518,08/07/2001,rawtenstall (uk/england),gb,oval,600,20/08/2001
1519,08/07/2005,edinburgh (south of) (uk/scotland),gb,triangle,180,02/09/2005
1520,08/07/2006,whitstable (uk/england),gb,sphere,180,16/07/2006
1521,08/07/2006,london (uk/england),gb,light,1200,16/07/2006
1522,08/07/2006,watford (uk/england),gb,oval,12,16/07/2006
1574,08/07/2010,dymchurch (uk/england),gb,egg,600,24/08/2010
1575,09/07/1975,manchester (uk/england),gb,triangle,600,05/08/2001
1576,09/07/2004,west lancashire (uk/england),gb,triangle,20,09/09/2004
1577,09/07/2005,bristol (uk/england),gb,cylinder,180,13/07/2005
1595,01/08/1965,leamington spa (uk/england),gb,light,300,05/08/2001
1596,01/08/1974,kent (uk/england),gb,cigar,10,16/04/2005
1597,01/08/1979,manchester (uk/england),gb,circle,120,19/03/2009
1598,01/08/1995,hull (uk/england),gb,triangle,1200,22/02/2002
1599,01/08/1997,bradford (uk/england),gb,sphere,5,02/09/2005
1600,01/08/2001,oxford (uk/england),gb,light,180,05/08/2001
1601,01/08/2003,dorchester (uk/england),gb,flash,600,24/09/2003
1602,01/08/2003,liverpool (uk/england),gb,circle,10,01/08/2003
1603,01/08/2004,london (uk/england),gb,triangle,30,29/09/2004
1604,01/08/2008,brighton (uk/england),gb,light,300,10/01/2009
1578,10/08/2001,worcestershire (uk/england),gb,,120,12/08/2001
1579,10/08/2002,gloucester (uk/england),gb,triangle,60,06/09/2002
1580,10/08/2003,glasgow (uk/scotland),gb,sphere,30,28/08/2003
1581,10/08/2007,accrington (uk/england),gb,triangle,40,21/08/2011
1582,10/08/2007,wolverhampton (uk/england),gb,disk,12,14/08/2007
1583,10/08/2008,birmingham (uk/england),gb,chevron,30,12/08/2008
1584,10/08/2009,bromley (uk/england),gb,diamond,1200,27/08/2009
1585,10/08/2010,glasgow (uk/scotland),gb,light,1800,24/08/2010
1586,10/08/2010,stafford (uk/england),gb,sphere,180,24/08/2010
1587,10/08/2010,exeter (uk/england),gb,changing,30,21/11/2010
1588,10/08/2010,merseyside (uk/england),gb,light,120,14/10/2013
1589,11/08/2000,frimley (uk/england),gb,circle,30,19/08/2000
1590,11/08/2006,northampton (uk/england),gb,light,7200,30/10/2006
1591,11/08/2007,oxford (uk/england),gb,light,240,14/08/2007
1592,11/08/2007,bedford (uk/england),gb,light,30,21/01/2008
1593,11/08/2009,harefield (uk/england),gb,cylinder,4,12/12/2009
1594,11/08/2011,hereford (uk/england),gb,light,300,21/08/2011
1605,12/08/2000,stockport (uk/england),gb,cigar,7,19/08/2000
1606,12/08/2001,dunkeld (uk/scotland),gb,other,120,11/01/2002
1607,12/08/2002,northampton (uk/england),gb,changing,1800,19/09/2002
1608,12/08/2002,coventry (uk/england),gb,other,20,16/08/2002
1609,12/08/2002,pontefract (uk/england),gb,disk,40,16/08/2002
1610,12/08/2002,rochester (uk/england),gb,triangle,30,28/08/2002
1611,12/08/2002,chelmsford (uk/england),gb,,60,16/08/2002
1612,12/08/2002,coventry (uk/england),gb,triangle,6,16/08/2002
1613,12/08/2002,conisbrough (doncaster) (uk/england),gb,light,15,16/08/2002
1614,12/08/2002,nottingham (uk/england),gb,sphere,20,16/08/2002
1615,12/08/2002,rugby (uk/england),gb,triangle,20,16/08/2002
1616,12/08/2002,london (near) (uk/england),gb,light,30,16/08/2002
1617,12/08/2007,sunderland (uk/england),gb,light,60,14/08/2007
1618,12/08/2008,conwy (uk/wales),gb,light,60,12/08/2008
1619,12/08/2013,luton (uk/england),gb,triangle,180,30/08/2013
1620,13/08/1943,portsmouth (uk/england),gb,sphere,600,16/04/2005
1621,13/08/2006,clevedon (uk/england),gb,sphere,30,30/10/2006
1622,13/08/2007,london (uk/england),gb,triangle,10,14/08/2007
1623,13/08/2007,brighton (uk/england),gb,triangle,7200,08/10/2007
1624,13/08/2009,ellesmere port (uk/england),gb,formation,20,27/08/2009
1625,14/08/1995,burgess hill (uk/england),gb,formation,600,11/03/2003
1626,14/08/2006,bathgate (uk/scotland),gb,triangle,120,30/10/2006
1627,14/08/2008,rotherham (uk/england),gb,,1800,31/10/2008
1628,14/08/2009,liverpool (uk/england),gb,sphere,20,12/12/2009
1629,14/08/2010,glasgow (uk/scotland),gb,sphere,1800,24/08/2010
1523,15/08/1998,southampton (uk/england),gb,teardrop,180,14/02/2006
1524,15/08/1998,luton (uk/england),gb,light,120,05/12/2001
1525,15/08/2002,cheshire (uk/england),gb,fireball,50,09/05/2003
1526,15/08/2003,birmingham (uk/england),gb,,30,28/08/2003
1527,15/08/2007,glasgow (uk/scotland),gb,fireball,20,30/08/2013
1528,15/08/2009,poole (uk/england),gb,unknown,120,27/08/2009
1529,15/08/2009,cleckheaton (uk/england),gb,fireball,60,27/08/2009
1530,15/08/2012,benfleet (thames estuary) (uk/england),gb,disk,900,30/10/2012
1531,15/08/2012,rochdale (manchester) (uk/england),gb,triangle,60,30/10/2012
1532,15/08/2012,manchester (uk/england),gb,circle,120,19/08/2012
1533,16/08/1988,dudley (uk/england),gb,triangle,300,16/07/2006
1534,16/08/1989,birmingham (uk/england),gb,circle,300,02/09/2005
1535,16/08/1996,aberdeen (uk/scotland),gb,light,1200,05/08/2001
1536,16/08/2000,nottinghamshire (uk/england),gb,circle,1200,17/09/2000
1537,16/08/2000,hemel hempstead (uk/england),gb,disk,180,05/08/2001
1538,16/08/2001,abersoch (uk/wales),gb,oval,600,22/04/2003
1539,16/08/2002,new park (near the new forest) (uk/england),gb,triangle,10,28/08/2002
1540,16/08/2006,newcastle upon tyne (uk/england),gb,changing,900,12/06/2007
1541,17/08/2009,chelmsford (uk/england),gb,rectangle,40,27/08/2009
1542,18/08/1970,london (uk/england),gb,disk,900,12/06/2008
1543,18/08/1974,colwyn bay (town) (uk/wales),gb,circle,10,09/03/2004
1544,18/08/2002,preston (uk/england),gb,triangle,600,28/08/2002
1545,18/08/2006,polegate (uk/england),gb,disk,600,30/10/2006
1546,18/08/2007,london (uk/england),gb,light,300,08/10/2007
1547,18/08/2012,nottingham (uk/england),gb,chevron,5,19/08/2012
1548,19/08/1997,london (uk/england),gb,circle,30,28/01/1999
1549,19/08/2001,bognor (uk/england),gb,changing,960,20/08/2001
1550,19/08/2004,stafford (uk/england),gb,sphere,2,24/08/2004
1551,19/08/2005,cheltenham (uk/england),gb,light,1200,02/09/2005
1552,19/08/2009,leeds (uk/england),gb,,120,27/08/2009
1553,19/08/2009,london (uk/england),gb,circle,240,27/08/2009
1554,19/08/2012,london (uk/england),gb,triangle,13,19/08/2012
1571,02/08/2003,stevenage (uk/england),gb,light,300,04/08/2003
1572,02/08/2006,exmouth (uk/england),gb,diamond,3,30/10/2006
1573,02/08/2009,avoch (uk/scotland),gb,circle,20,05/08/2009
1555,20/08/1984,london (uk/england),gb,sphere,600,02/10/1999
1556,20/08/1996,romford (essex) (uk/england),gb,disk,300,24/04/2014
1557,20/08/2001,dundee (tayside; alba) (uk/scotland),gb,light,900,30/10/2006
1558,20/08/2002,birmingham (uk/england),gb,sphere,10,06/09/2002
1559,20/08/2003,newton abbot (uk/england),gb,circle,120,28/08/2003
1560,20/08/2005,wakefield (uk/england),gb,disk,300,11/10/2005
1561,20/08/2009,shropshire (uk/england),gb,circle,600,10/10/2011
1562,20/08/2009,shebbear (uk/england),gb,circle,3600,27/08/2009
